ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,,,,4.2,4.3,4.4,4.3,4.2,4.2,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,,,,2.9,3,3.1,3.3,3.4,3.5,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,,,,1.9,2,2,2.1,2.1,2.2,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,,,,1.6,1.7,1.7,1.8,1.8,1.8,
ERP_F_2,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (no.),,,,,,238785,235778,232193,232951,231819,229885,
ERP_F_3,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (no.),,,,,,247598,246598,245467,243580,242236,240983,
ERP_F_4,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (no.),,,,,,237747,243524,246768,248854,250354,251615,
ERP_F_5,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (no.),,,,,,227336,224626,222554,230886,241399,248781,
ERP_F_6,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (no.),,,,,,266364,258376,243734,245736,260855,268272,
ERP_F_7,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (no.),,,,,,298821,294737,281425,279539,294930,305629,
ERP_F_8,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (no.),,,,,,299912,302029,300607,301289,309923,315231,
ERP_F_9,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (no.),,,,,,283729,290456,293027,295571,300792,305920,
ERP_F_10,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (no.),,,,,,254373,257525,263153,269356,278747,287072,
ERP_F_11,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (no.),,,,,,266926,266456,260715,255656,254226,255723,
ERP_F_12,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (no.),,,,,,243384,246041,252243,258756,263151,264780,
ERP_F_13,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (no.),,,,,,252267,253282,247965,243280,239775,239652,
ERP_F_14,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (no.),,,,,,230159,237116,240317,243142,246118,248102,
ERP_F_15,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (no.),,,,,,202514,208404,211037,214574,218981,223747,
ERP_F_16,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (no.),,,,,,174630,182150,187796,187660,190254,193511,
ERP_F_17,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (no.),,,,,,124323,130194,135708,145664,154534,161215,
ERP_F_18,Estimated resident population - Females - year ended 30 June,Females - 80-84 years (no.),,,,,,92119,94962,97173,99280,101563,106078,
ERP_F_19,Estimated resident population - Females - year ended 30 June,Females - 85 and over (no.),,,,,,106309,107646,109787,111167,112510,115257,
ERP_F_21,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (%),,,,,,5.9,5.8,5.7,5.7,5.5,5.4,
ERP_F_22,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (%),,,,,,6.1,6,6,5.9,5.8,5.7,
ERP_F_23,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (%),,,,,,5.9,6,6.1,6.1,6,5.9,
ERP_F_24,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (%),,,,,,5.6,5.5,5.5,5.6,5.8,5.8,
ERP_F_25,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (%),,,,,,6.6,6.3,6,6,6.2,6.3,
ERP_F_26,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (%),,,,,,7.4,7.2,6.9,6.8,7,7.2,
ERP_F_27,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (%),,,,,,7.4,7.4,7.4,7.3,7.4,7.4,
ERP_F_28,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (%),,,,,,7,7.1,7.2,7.2,7.2,7.2,
ERP_F_29,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (%),,,,,,6.3,6.3,6.5,6.6,6.6,6.7,
ERP_F_30,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (%),,,,,,6.6,6.5,6.4,6.2,6.1,6,
ERP_F_31,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (%),,,,,,6,6,6.2,6.3,6.3,6.2,
ERP_F_32,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (%),,,,,,6.2,6.2,6.1,5.9,5.7,5.6,
ERP_F_33,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (%),,,,,,5.7,5.8,5.9,5.9,5.9,5.8,
ERP_F_34,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (%),,,,,,5,5.1,5.2,5.2,5.2,5.3,
